,weight,age,height,size,size_in_num
57,72,28.0,162.56,L,3.0
58,63,28.0,172.72,M,2.0
59,58,33.0,157.48,XL,4.0
60,65,29.0,165.1,XL,4.0
61,60,27.0,167.64,XL,4.0
62,68,28.0,167.64,L,3.0
63,70,32.0,175.26,XL,4.0
64,63,36.0,157.48,XL,4.0
65,58,36.0,165.1,S,1.0
66,79,49.0,167.64,XXXL,6.0
67,49,40.0,157.48,M,2.0
68,56,22.0,157.48,S,1.0
69,59,35.0,175.26,S,1.0
70,50,32.0,154.94,XXS,0.0
71,53,33.0,162.56,S,1.0
72,56,32.0,165.1,M,2.0
73,113,27.0,167.64,XXXL,6.0
74,88,30.0,162.56,XXXL,6.0
75,68,42.0,165.1,XL,4.0
76,74,53.0,157.48,XXXL,6.0
77,104,34.0,154.94,XXXL,6.0
78,58,33.0,162.56,S,1.0
79,61,30.0,172.72,M,2.0
80,61,69.0,154.94,XXXL,6.0
81,54,34.0,160.02,S,1.0
82,65,36.0,167.64,L,3.0
83,70,35.0,167.64,XXXL,6.0
84,54,31.0,162.56,M,2.0
85,52,31.0,172.72,XXS,0.0
86,63,33.0,167.64,L,3.0
87,70,23.0,147.32,XXXL,6.0
88,79,32.0,170.18,XXXL,6.0
89,49,17.0,167.64,S,1.0
90,57,37.0,157.48,M,2.0
91,95,43.0,172.72,XXXL,6.0
92,72,50.0,170.18,XXXL,6.0
93,58,24.0,170.18,M,2.0
94,74,31.0,170.18,XL,4.0
95,54,36.0,170.18,S,1.0
96,77,30.0,167.64,XL,4.0
97,63,53.0,167.64,M,2.0
98,99,44.0,172.72,XXXL,6.0
99,62,30.0,177.8,M,2.0
100,81,33.0,185.42,XXXL,6.0
101,56,32.0,162.56,L,3.0
102,55,26.0,170.18,S,1.0
103,61,30.0,170.18,XL,4.0
104,65,27.0,167.64,XL,4.0
105,61,31.0,170.18,M,2.0
106,65,33.0,167.64,L,3.0
107,58,29.0,162.56,L,3.0
108,72,44.0,175.26,XXXL,6.0
109,63,27.0,162.56,XL,4.0
110,65,47.0,170.18,L,3.0
111,63,31.0,175.26,M,2.0
112,80,41.0,170.18,XXXL,6.0
113,63,23.0,162.56,L,3.0
114,58,23.0,180.34,XL,4.0
115,71,23.0,170.18,XL,4.0
116,53,29.0,160.02,M,2.0
117,81,59.0,162.56,XXXL,6.0
118,83,30.0,162.56,XXXL,6.0
119,63,34.0,172.72,M,2.0
120,54,29.0,157.48,S,1.0
121,95,30.0,160.02,XXXL,6.0
122,56,28.0,165.1,M,2.0
123,61,33.0,165.1,S,1.0
124,74,31.0,157.48,XXXL,6.0
125,70,26.0,154.94,L,3.0
126,72,52.0,170.18,XXXL,6.0
127,62,29.0,162.56,L,3.0
128,59,39.0,160.02,L,3.0
129,52,27.0,157.48,XXS,0.0
130,90,59.0,162.56,XXXL,6.0
131,72,20.0,167.64,XXXL,6.0
132,63,30.0,165.1,XL,4.0
133,63,37.0,172.72,M,2.0
134,47,28.0,154.94,XXS,0.0
135,58,29.0,157.48,M,2.0
136,65,33.0,167.64,L,3.0
137,62,30.0,157.48,M,2.0
138,62,24.0,175.26,M,2.0
139,63,33.0,157.48,XL,4.0
140,68,42.0,167.64,XL,4.0
141,59,31.0,162.56,M,2.0
142,56,30.0,172.72,S,1.0
143,58,33.0,160.02,M,2.0
144,58,31.0,157.48,M,2.0
145,65,29.0,172.72,L,3.0
146,65,29.0,180.34,XL,4.0
147,68,29.0,162.56,XL,4.0
148,65,32.0,172.72,L,3.0
149,77,43.0,172.72,XXXL,6.0
150,53,28.0,157.48,XXS,0.0
151,58,36.0,175.26,M,2.0
152,54,37.0,152.4,M,2.0
153,53,42.0,167.64,S,1.0
154,54,41.0,162.56,S,1.0
155,66,41.0,170.18,L,3.0
156,52,42.0,165.1,S,1.0
157,53,32.0,170.18,S,1.0
158,58,53.0,160.02,L,3.0
159,56,33.0,162.56,M,2.0
160,56,33.0,170.18,L,3.0
161,56,52.0,162.56,M,2.0
162,63,31.0,172.72,XL,4.0
163,65,52.0,152.4,XXXL,6.0
164,58,38.0,167.64,L,3.0
165,63,39.0,175.26,XL,4.0
166,54,23.0,162.56,M,2.0
167,58,29.0,167.64,M,2.0
168,70,34.0,170.18,XL,4.0
169,58,30.0,167.64,M,2.0
170,46,28.0,152.4,XXS,0.0
171,58,28.0,157.48,S,1.0
172,79,51.0,162.56,XXXL,6.0
173,54,29.0,165.1,S,1.0
174,61,32.0,162.56,M,2.0
175,54,33.0,154.94,S,1.0
176,58,26.0,170.18,M,2.0
177,72,30.0,177.8,L,3.0
178,58,46.0,167.64,L,3.0
179,56,26.0,165.1,S,1.0
180,62,52.0,162.56,M,2.0
181,61,38.0,154.94,XXXL,6.0
182,63,32.0,172.72,M,2.0
183,61,31.0,162.56,M,2.0
184,64,41.0,162.56,L,3.0
185,50,30.0,154.94,XXS,0.0
186,54,34.0,162.56,M,2.0
187,56,23.0,175.26,S,1.0
188,61,31.0,175.26,S,1.0
189,52,39.0,167.64,XXS,0.0
190,65,30.0,175.26,M,2.0
191,65,38.0,160.02,L,3.0
192,50,52.0,160.02,L,3.0
193,53,28.0,152.4,S,1.0
194,68,46.0,162.56,XL,4.0
195,52,31.0,157.48,S,1.0
196,95,24.0,175.26,XXXL,6.0
197,65,34.0,177.8,XL,4.0
198,58,32.0,160.02,S,1.0
199,61,30.0,160.02,M,2.0
200,73,35.0,167.64,XXXL,6.0
201,59,36.0,162.56,M,2.0
202,74,46.0,167.64,XXXL,6.0
203,90,31.0,165.1,XXXL,6.0
204,70,45.0,157.48,XXXL,6.0
205,65,53.0,162.56,XL,4.0
206,53,32.0,165.1,S,1.0
207,58,33.0,160.02,L,3.0
208,49,34.0,160.02,XXS,0.0
209,50,28.0,165.1,S,1.0
210,53,43.0,167.64,M,2.0
211,54,27.0,165.1,M,2.0
212,77,36.0,167.64,XXXL,6.0
213,54,27.0,157.48,M,2.0
214,65,50.0,172.72,XXXL,6.0
215,65,26.0,172.72,L,3.0
216,68,37.0,170.18,XL,4.0
217,78,29.0,167.64,XXXL,6.0
218,58,24.0,180.34,XXS,0.0
219,58,31.0,157.48,L,3.0
220,68,30.0,170.18,XXXL,6.0
221,70,46.0,165.1,XXXL,6.0
222,65,26.0,175.26,L,3.0
223,48,40.0,152.4,XXS,0.0
224,54,27.0,157.48,S,1.0
225,55,27.0,170.18,M,2.0
226,55,41.0,157.48,L,3.0
227,61,47.0,160.02,XL,4.0
228,61,30.0,172.72,M,2.0
229,65,31.0,175.26,M,2.0
230,60,28.0,170.18,M,2.0
231,58,35.0,167.64,XL,4.0
232,68,30.0,162.56,M,2.0
233,112,38.0,175.26,XXXL,6.0
234,61,45.0,162.56,XL,4.0
235,54,34.0,165.1,S,1.0
236,58,45.0,172.72,M,2.0
237,68,30.0,167.64,XL,4.0
238,58,31.0,162.56,M,2.0
239,58,30.0,170.18,S,1.0
240,79,27.0,177.8,L,3.0
241,56,38.0,170.18,S,1.0
242,49,39.0,157.48,S,1.0
243,69,40.0,175.26,XXXL,6.0
244,61,43.0,167.64,M,2.0
245,69,31.0,172.72,XL,4.0
246,72,36.0,175.26,XL,4.0
247,61,37.0,160.02,L,3.0
248,54,23.0,167.64,XXS,0.0
249,60,35.0,170.18,XL,4.0
250,50,48.0,162.56,XXS,0.0
251,66,49.0,162.56,L,3.0
252,58,50.0,162.56,L,3.0
253,61,33.0,162.56,L,3.0
254,52,29.0,167.64,XXS,0.0
255,64,34.0,175.26,L,3.0
256,54,51.0,167.64,S,1.0
257,52,22.0,154.94,S,1.0
258,68,49.0,180.34,XL,4.0
259,56,32.0,167.64,S,1.0
260,70,34.0,160.02,XL,4.0
261,55,38.0,162.56,S,1.0
262,70,24.0,162.56,XXXL,6.0
263,77,28.0,160.02,XXXL,6.0
264,56,39.0,167.64,M,2.0
265,72,40.0,175.26,XL,4.0
266,83,50.0,165.1,XXXL,6.0
267,68,29.0,160.02,XL,4.0
268,56,42.0,165.1,M,2.0
269,59,37.0,154.94,XL,4.0
270,77,31.0,175.26,XXXL,6.0
271,79,30.0,177.8,XXXL,6.0
272,77,34.0,162.56,L,3.0
273,54,34.0,165.1,S,1.0
274,61,33.0,177.8,M,2.0
275,63,33.0,165.1,XL,4.0
276,61,32.0,157.48,M,2.0
277,46,31.0,152.4,XXS,0.0
278,81,30.0,170.18,XXXL,6.0
279,58,35.0,162.56,M,2.0
280,52,30.0,165.1,S,1.0
281,61,26.0,170.18,M,2.0
282,53,37.0,170.18,XL,4.0
283,61,51.0,167.64,L,3.0
284,54,32.0,165.1,S,1.0
285,58,33.0,167.64,S,1.0
286,65,28.0,165.1,L,3.0
287,81,39.0,180.34,XXXL,6.0
288,54,30.0,165.1,XXS,0.0
289,74,36.0,170.18,XXXL,6.0
290,56,32.0,165.1,L,3.0
291,52,28.0,167.64,XXS,0.0
292,56,34.0,180.34,M,2.0
293,81,33.0,162.56,XXXL,6.0
294,63,29.0,170.18,M,2.0
295,54,32.0,160.02,L,3.0
296,61,34.0,162.56,L,3.0
297,61,34.0,165.1,L,3.0
298,65,37.0,160.02,L,3.0
299,50,32.0,162.56,XXS,0.0
300,58,35.0,170.18,S,1.0
301,58,34.0,175.26,S,1.0
302,52,47.0,160.02,M,2.0
303,58,53.0,160.02,M,2.0
304,90,40.0,170.18,XXXL,6.0
305,70,23.0,180.34,M,2.0
306,65,29.0,162.56,XL,4.0
307,55,26.0,162.56,S,1.0
308,58,25.0,167.64,XL,4.0
309,70,36.0,175.26,S,1.0
310,52,40.0,172.72,XXS,0.0
311,58,27.0,162.56,M,2.0
312,68,41.0,162.56,XXXL,6.0
313,57,28.0,165.1,S,1.0
314,65,36.0,165.1,XXXL,6.0
315,54,25.0,152.4,M,2.0
316,58,38.0,172.72,M,2.0
317,63,29.0,162.56,L,3.0
318,77,34.0,167.64,XXXL,6.0
319,65,29.0,170.18,XL,4.0
320,62,41.0,172.72,L,3.0
321,58,43.0,162.56,M,2.0
322,77,31.0,172.72,XXXL,6.0
323,65,40.0,177.8,XL,4.0
324,68,28.0,175.26,M,2.0
325,64,32.0,175.26,XL,4.0
326,52,34.0,167.64,S,1.0
327,58,40.0,170.18,M,2.0
328,61,32.0,172.72,M,2.0
329,63,38.0,172.72,M,2.0
330,68,28.0,167.64,XL,4.0
331,56,34.0,160.02,M,2.0
332,52,24.0,180.34,XXS,0.0
333,61,32.0,175.26,S,1.0
334,72,20.0,165.1,M,2.0
335,53,38.0,160.02,S,1.0
336,72,32.0,162.56,XL,4.0
337,63,30.0,172.72,M,2.0
338,56,45.0,165.1,L,3.0
339,65,25.0,152.4,XL,4.0
340,54,43.0,160.02,S,1.0
341,52,28.0,160.02,XXS,0.0
342,81,36.0,162.56,XXXL,6.0
343,84,31.0,165.1,XXXL,6.0
344,61,46.0,177.8,M,2.0
345,45,30.0,162.56,XXS,0.0
346,61,45.0,162.56,XL,4.0
347,54,36.0,157.48,M,2.0
348,57,44.0,157.48,M,2.0
349,56,48.0,165.1,M,2.0
350,58,43.0,170.18,S,1.0
351,52,28.0,162.56,S,1.0
352,56,30.0,165.1,S,1.0
353,52,29.0,154.94,S,1.0
354,52,35.0,160.02,S,1.0
355,58,32.0,175.26,M,2.0
356,58,29.0,152.4,M,2.0
357,79,30.0,162.56,XXXL,6.0
358,70,44.0,170.18,XXXL,6.0
359,56,41.0,162.56,S,1.0
360,55,34.0,154.94,M,2.0
361,63,27.0,170.18,M,2.0
362,58,27.0,157.48,M,2.0
363,55,29.0,162.56,S,1.0
364,72,35.0,165.1,XXXL,6.0
365,70,31.0,167.64,XL,4.0
366,52,40.0,157.48,S,1.0
367,58,32.0,160.02,L,3.0
368,58,29.0,160.02,M,2.0
369,54,31.0,162.56,XXS,0.0
370,55,26.0,162.56,S,1.0
371,68,31.0,167.64,XL,4.0
372,53,21.0,157.48,L,3.0
373,53,30.0,160.02,S,1.0
374,58,53.0,170.18,L,3.0
375,61,26.0,160.02,M,2.0
376,63,34.0,170.18,L,3.0
377,72,45.0,170.18,XXXL,6.0
378,62,54.0,167.64,L,3.0
379,65,37.0,172.72,XXXL,6.0
380,54,35.0,157.48,M,2.0
381,54,28.0,157.48,XXS,0.0
382,61,29.0,165.1,M,2.0
383,61,27.0,162.56,L,3.0
384,70,36.0,172.72,L,3.0
385,65,25.0,142.24,L,3.0
386,81,25.0,172.72,XXXL,6.0
387,65,39.0,167.64,L,3.0
388,65,24.0,167.64,L,3.0
389,53,49.0,162.56,XXS,0.0
390,46,59.0,157.48,XXS,0.0
391,54,32.0,170.18,XXS,0.0
392,56,43.0,172.72,M,2.0
393,68,30.0,152.4,XXXL,6.0
394,68,30.0,165.1,M,2.0
395,61,34.0,162.56,L,3.0
396,61,23.0,172.72,XL,4.0
397,61,39.0,170.18,L,3.0
398,61,25.0,165.1,S,1.0
399,72,33.0,172.72,XXXL,6.0
400,54,39.0,157.48,M,2.0
401,68,33.0,182.88,M,2.0
402,64,,172.72,M,2.0
403,54,27.0,165.1,S,1.0
404,63,35.0,167.64,L,3.0
405,68,29.0,160.02,XL,4.0
406,58,47.0,154.94,M,2.0
407,58,34.0,165.1,M,2.0
408,61,35.0,170.18,S,1.0
409,70,42.0,160.02,XL,4.0
410,58,25.0,175.26,S,1.0
411,77,39.0,175.26,XXXL,6.0
412,73,38.0,177.8,XXXL,6.0
413,65,33.0,167.64,XL,4.0
414,58,34.0,162.56,S,1.0
415,58,28.0,152.4,L,3.0
416,65,24.0,170.18,L,3.0
417,65,50.0,162.56,XL,4.0
418,97,43.0,162.56,XXXL,6.0
419,55,28.0,157.48,S,1.0
420,54,48.0,162.56,M,2.0
421,65,29.0,172.72,L,3.0
422,56,62.0,162.56,M,2.0
423,50,29.0,152.4,S,1.0
424,63,49.0,170.18,L,3.0
425,63,35.0,177.8,M,2.0
426,68,40.0,175.26,XXXL,6.0
427,53,58.0,172.72,M,2.0
428,53,32.0,154.94,M,2.0
429,68,29.0,172.72,L,3.0
430,65,40.0,170.18,L,3.0
431,56,36.0,167.64,M,2.0
432,53,33.0,154.94,S,1.0
433,58,28.0,157.48,M,2.0
434,65,38.0,180.34,L,3.0
435,55,35.0,167.64,S,1.0
436,52,35.0,167.64,XXS,0.0
437,74,42.0,167.64,XXXL,6.0
438,54,31.0,165.1,S,1.0
439,62,38.0,172.72,XL,4.0
440,52,30.0,167.64,XXS,0.0
441,79,51.0,167.64,XXXL,6.0
442,75,38.0,182.88,XXXL,6.0
443,65,34.0,170.18,M,2.0
444,65,36.0,157.48,XXXL,6.0
445,58,39.0,167.64,XL,4.0
446,68,34.0,167.64,XL,4.0
447,70,28.0,177.8,L,3.0
448,70,37.0,167.64,XXXL,6.0
449,45,25.0,157.48,XXS,0.0
450,65,25.0,167.64,XL,4.0
451,86,53.0,160.02,XXXL,6.0
452,50,43.0,152.4,M,2.0
453,58,49.0,157.48,L,3.0
454,53,29.0,167.64,S,1.0
455,43,44.0,157.48,S,1.0
456,58,32.0,162.56,M,2.0
457,54,27.0,172.72,S,1.0
458,72,30.0,157.48,XXXL,6.0
459,52,28.0,154.94,M,2.0
460,61,29.0,162.56,M,2.0
461,68,34.0,170.18,XXXL,6.0
462,58,42.0,170.18,L,3.0
463,48,30.0,160.02,XXS,0.0
464,56,31.0,152.4,L,3.0
465,54,27.0,165.1,M,2.0
466,61,25.0,162.56,M,2.0
467,70,33.0,160.02,XXXL,6.0
468,62,33.0,167.64,L,3.0
469,56,32.0,165.1,S,1.0
470,56,34.0,162.56,S,1.0
471,47,28.0,160.02,XXS,0.0
472,68,37.0,167.64,XL,4.0
473,58,37.0,162.56,S,1.0
474,61,41.0,160.02,L,3.0
475,56,29.0,167.64,XXS,0.0
476,56,33.0,165.1,M,2.0
477,81,38.0,187.96,XXXL,6.0
478,56,25.0,165.1,XL,4.0
479,61,29.0,165.1,M,2.0
480,65,37.0,172.72,L,3.0
481,72,29.0,172.72,XXXL,6.0
482,63,34.0,175.26,L,3.0
483,68,38.0,160.02,XXXL,6.0
484,46,31.0,157.48,XXS,0.0
485,58,40.0,162.56,M,2.0
486,64,27.0,165.1,M,2.0
487,65,19.0,167.64,L,3.0
488,49,31.0,162.56,S,1.0
489,55,43.0,170.18,S,1.0
490,70,31.0,167.64,XL,4.0
491,72,27.0,167.64,XL,4.0
492,56,30.0,160.02,M,2.0
493,58,26.0,162.56,M,2.0
494,62,31.0,167.64,XL,4.0
495,68,30.0,167.64,XL,4.0
496,63,28.0,172.72,XL,4.0
497,58,27.0,160.02,L,3.0
498,63,38.0,160.02,XL,4.0
499,56,26.0,162.56,M,2.0
500,58,30.0,165.1,S,1.0
501,63,24.0,170.18,M,2.0
502,52,50.0,162.56,S,1.0
503,65,31.0,167.64,XL,4.0
504,70,32.0,172.72,XXXL,6.0
505,58,31.0,172.72,M,2.0
506,67,29.0,172.72,XL,4.0
507,58,36.0,162.56,M,2.0
508,52,24.0,160.02,S,1.0
509,54,24.0,152.4,L,3.0
510,52,28.0,162.56,S,1.0
511,58,35.0,170.18,S,1.0
512,70,37.0,170.18,XXXL,6.0
513,49,25.0,165.1,XXS,0.0
514,62,30.0,167.64,M,2.0
515,74,31.0,162.56,XL,4.0
516,56,52.0,157.48,S,1.0
517,69,37.0,167.64,L,3.0
518,74,37.0,170.18,XXXL,6.0
519,58,35.0,160.02,XXXL,6.0
520,55,24.0,175.26,S,1.0
521,62,42.0,162.56,S,1.0
522,65,30.0,167.64,M,2.0
523,65,30.0,165.1,XXXL,6.0
524,57,20.0,170.18,M,2.0
525,56,48.0,165.1,S,1.0
526,58,31.0,170.18,M,2.0
527,61,32.0,170.18,M,2.0
528,61,36.0,175.26,L,3.0
529,52,42.0,162.56,S,1.0
530,58,33.0,165.1,M,2.0
531,74,36.0,175.26,XXXL,6.0
532,56,25.0,167.64,S,1.0
533,63,51.0,162.56,L,3.0
534,52,26.0,157.48,M,2.0
535,63,27.0,165.1,XL,4.0
536,65,29.0,167.64,L,3.0
537,61,34.0,165.1,M,2.0
538,52,55.0,157.48,M,2.0
539,78,37.0,175.26,XL,4.0
540,52,27.0,162.56,S,1.0
541,68,33.0,160.02,XL,4.0
542,56,47.0,160.02,M,2.0
543,65,29.0,172.72,L,3.0
544,64,17.0,162.56,XL,4.0
545,77,48.0,167.64,XXXL,6.0
546,56,32.0,162.56,S,1.0
547,50,31.0,162.56,XXS,0.0
548,63,39.0,157.48,L,3.0
549,65,28.0,172.72,XL,4.0
550,56,43.0,170.18,XXS,0.0
551,49,44.0,154.94,S,1.0
552,63,35.0,170.18,XL,4.0
553,57,35.0,162.56,M,2.0
554,56,20.0,167.64,M,2.0
555,56,26.0,167.64,M,2.0
556,54,28.0,167.64,M,2.0
557,64,27.0,165.1,M,2.0
558,90,39.0,167.64,XXXL,6.0
559,68,37.0,165.1,XL,4.0
560,56,38.0,167.64,S,1.0
561,54,46.0,162.56,L,3.0
562,56,28.0,160.02,S,1.0
563,63,27.0,172.72,L,3.0
564,61,45.0,172.72,M,2.0
565,47,26.0,157.48,XXS,0.0
566,49,26.0,162.56,S,1.0
567,61,29.0,165.1,XXXL,6.0
568,68,28.0,,XL,4.0
569,58,29.0,165.1,L,3.0
570,48,34.0,165.1,XXS,0.0
571,56,29.0,170.18,S,1.0
572,104,34.0,162.56,XXXL,6.0
573,58,32.0,165.1,M,2.0
574,54,28.0,170.18,M,2.0
575,54,47.0,165.1,M,2.0
576,62,33.0,170.18,M,2.0
577,65,28.0,165.1,XXXL,6.0
578,54,49.0,154.94,M,2.0
579,55,33.0,162.56,M,2.0
580,63,25.0,162.56,XL,4.0
581,58,28.0,167.64,M,2.0
582,48,26.0,154.94,S,1.0
583,52,29.0,157.48,S,1.0
584,61,34.0,170.18,XXXL,6.0
585,54,27.0,165.1,S,1.0
586,54,35.0,157.48,S,1.0
587,63,37.0,165.1,L,3.0
588,56,45.0,160.02,M,2.0
589,61,32.0,154.94,M,2.0
590,68,38.0,172.72,XL,4.0
591,63,50.0,177.8,L,3.0
592,71,23.0,162.56,XXXL,6.0
593,72,43.0,170.18,XXXL,6.0
594,63,39.0,175.26,XL,4.0
595,79,31.0,165.1,XXXL,6.0
596,58,41.0,162.56,XL,4.0
597,55,29.0,172.72,L,3.0
598,86,29.0,175.26,XXXL,6.0
599,72,36.0,172.72,XXXL,6.0
600,54,34.0,167.64,S,1.0
601,55,28.0,167.64,S,1.0
602,52,31.0,162.56,S,1.0
603,65,38.0,165.1,XL,4.0
604,72,39.0,160.02,XXXL,6.0
605,70,33.0,170.18,L,3.0
606,58,32.0,160.02,M,2.0
607,65,32.0,167.64,XXXL,6.0
608,49,41.0,154.94,XXS,0.0
609,49,40.0,154.94,XXXL,6.0
610,65,29.0,162.56,L,3.0
611,48,34.0,160.02,S,1.0
612,88,28.0,172.72,XXXL,6.0
613,54,22.0,162.56,S,1.0
614,60,26.0,157.48,M,2.0
615,53,40.0,162.56,M,2.0
616,53,30.0,167.64,S,1.0
617,53,30.0,170.18,S,1.0
618,56,50.0,160.02,XL,4.0
619,61,26.0,162.56,M,2.0
620,83,29.0,154.94,XXXL,6.0
621,52,40.0,157.48,S,1.0
622,70,39.0,160.02,XXXL,6.0
623,49,37.0,167.64,S,1.0
624,54,44.0,165.1,M,2.0
625,61,25.0,165.1,L,3.0
626,56,40.0,160.02,L,3.0
627,63,34.0,160.02,M,2.0
628,95,28.0,167.64,XXXL,6.0
629,65,29.0,160.02,M,2.0
630,56,35.0,167.64,S,1.0
631,58,30.0,172.72,S,1.0
632,53,38.0,157.48,S,1.0
633,61,20.0,165.1,M,2.0
634,47,36.0,160.02,S,1.0
635,61,41.0,167.64,M,2.0
636,63,38.0,165.1,XL,4.0
637,70,37.0,172.72,L,3.0
638,69,25.0,160.02,XXXL,6.0
639,55,23.0,172.72,S,1.0
640,52,33.0,165.1,XXS,0.0
641,65,35.0,160.02,XL,4.0
642,72,36.0,165.1,XXXL,6.0
643,63,55.0,167.64,XXXL,6.0
644,68,36.0,172.72,XXXL,6.0
645,54,33.0,175.26,XL,4.0
646,68,26.0,162.56,L,3.0
647,56,32.0,157.48,XL,4.0
648,61,31.0,157.48,L,3.0
649,51,25.0,162.56,XXS,0.0
650,51,35.0,160.02,XXS,0.0
651,61,26.0,157.48,L,3.0
652,56,50.0,157.48,M,2.0
653,72,46.0,157.48,XXXL,6.0
654,70,28.0,162.56,L,3.0
655,63,37.0,160.02,XL,4.0
656,53,35.0,160.02,S,1.0
657,92,23.0,182.88,XXXL,6.0
658,74,33.0,162.56,XXXL,6.0
659,78,38.0,172.72,XXXL,6.0
660,63,31.0,172.72,L,3.0
661,54,23.0,154.94,M,2.0
662,53,39.0,162.56,S,1.0
663,54,35.0,157.48,M,2.0
664,49,43.0,172.72,S,1.0
665,55,29.0,157.48,M,2.0
666,58,49.0,167.64,M,2.0
667,72,29.0,170.18,XXXL,6.0
668,63,46.0,170.18,L,3.0
669,56,29.0,162.56,S,1.0
670,52,31.0,162.56,M,2.0
671,47,34.0,149.86,XXS,0.0
672,63,60.0,167.64,XXXL,6.0
673,79,33.0,177.8,XXXL,6.0
674,70,24.0,165.1,XL,4.0
675,65,37.0,157.48,XL,4.0
676,52,35.0,167.64,S,1.0
677,52,37.0,162.56,XXS,0.0
678,58,35.0,165.1,M,2.0
679,52,31.0,157.48,S,1.0
680,61,30.0,154.94,XL,4.0
681,56,30.0,165.1,S,1.0
682,55,27.0,170.18,M,2.0
683,52,31.0,165.1,XXS,0.0
684,54,31.0,172.72,L,3.0
685,60,28.0,170.18,M,2.0
686,49,37.0,170.18,S,1.0
687,61,40.0,167.64,L,3.0
688,68,32.0,170.18,XXXL,6.0
689,61,25.0,162.56,XL,4.0
690,61,29.0,165.1,M,2.0
691,58,31.0,157.48,L,3.0
692,65,30.0,170.18,L,3.0
693,51,29.0,162.56,S,1.0
694,58,33.0,152.4,L,3.0
695,61,37.0,185.42,L,3.0
696,95,29.0,170.18,XXXL,6.0
697,77,31.0,172.72,XXXL,6.0
698,56,30.0,167.64,S,1.0
699,49,36.0,157.48,XXS,0.0
700,60,41.0,162.56,XL,4.0
701,65,25.0,180.34,XXXL,6.0
702,54,29.0,154.94,M,2.0
703,59,53.0,157.48,XL,4.0
704,52,29.0,162.56,S,1.0
705,49,26.0,170.18,S,1.0
706,81,30.0,172.72,XXXL,6.0
707,52,31.0,162.56,S,1.0
708,56,37.0,170.18,M,2.0
709,58,34.0,157.48,S,1.0
710,65,36.0,180.34,S,1.0
711,83,22.0,167.64,XL,4.0
712,72,30.0,162.56,XXXL,6.0
713,58,37.0,157.48,XL,4.0
714,68,29.0,175.26,XL,4.0
715,54,29.0,160.02,S,1.0
716,83,35.0,167.64,XXXL,6.0
717,73,45.0,154.94,XL,4.0
718,72,39.0,172.72,XL,4.0
719,58,38.0,157.48,XL,4.0
720,58,33.0,167.64,L,3.0
721,84,30.0,177.8,XXXL,6.0
722,58,37.0,167.64,L,3.0
723,61,27.0,177.8,M,2.0
724,58,31.0,162.56,XXS,0.0
725,61,28.0,170.18,M,2.0
726,53,36.0,165.1,S,1.0
727,56,35.0,165.1,M,2.0
728,57,29.0,162.56,M,2.0
729,66,34.0,175.26,L,3.0
730,51,38.0,157.48,S,1.0
731,76,28.0,175.26,XL,4.0
732,86,33.0,167.64,XXXL,6.0
733,67,33.0,170.18,XL,4.0
734,53,29.0,175.26,XXS,0.0
735,68,36.0,162.56,XL,4.0
736,64,61.0,162.56,XXXL,6.0
737,65,26.0,170.18,XL,4.0
738,52,26.0,167.64,XXS,0.0
739,63,29.0,167.64,M,2.0
740,58,35.0,157.48,L,3.0
741,58,45.0,167.64,M,2.0
